year-month,EU,PU,EPU,RPU,REPU
1985-1,119.6369153,134.8624538,129.8431836,110.5672339,83.52164541
1985-2,62.62585018,93.05381527,85.20081873,103.8519008,46.59118816
1985-3,115.2486069,123.1509835,123.0976949,129.2861216,127.0003122
1985-4,100.3452321,109.2505808,115.2696664,161.2352223,126.0679811
1985-5,109.8175713,133.3661393,143.0976744,98.78050811,81.95101735
1985-6,103.0323429,120.9233068,122.1698888,109.9835648,92.73208506
1985-7,116.7597269,135.85111,139.3882312,100.3631797,76.97408697
1985-8,113.4176301,115.5780905,120.8605274,94.00551546,64.63501519
1985-9,104.1382477,113.7071753,112.4768974,90.3027349,56.14016356
1985-10,79.72942154,95.16811448,92.97878631,79.16154353,74.25464424
1985-11,69.63780315,118.3642183,80.07000089,105.440729,60.30479662
1985-12,93.86277996,101.6614914,100.8036185,61.11635815,42.90337791
1986-1,116.8321588,136.3564866,151.6830892,157.2391718,185.5650575
1986-2,92.94941972,122.9752299,111.9261184,122.4919454,98.3438975
1986-3,93.34319047,130.5479876,119.0174603,86.81281576,121.2600079
1986-4,83.17666117,106.8924819,105.4479922,111.3067851,157.8280399
1986-5,101.2943407,122.6939,133.6158236,63.23047335,35.91022891
1986-6,124.0597475,132.9840324,141.4907558,154.9552461,220.2364956
1986-7,109.0160207,111.1878014,127.8951816,50.01273539,37.7426089
1986-8,125.5776804,125.9488644,156.3984838,90.37080704,85.27316667
1986-9,106.9936838,120.0973068,124.8710594,106.0873508,99.0900007
1986-10,80.94132636,107.283694,95.00277196,66.33663555,27.4687721
1986-11,96.63457891,123.6618936,123.3920588,171.2003349,188.2898395
1986-12,94.47681779,115.4882595,103.5134123,77.03279551,67.61421877
1987-1,102.2463452,99.37808569,110.815167,100.0802683,111.4952175
1987-2,90.03413071,109.6077582,85.09164743,48.02814936,37.90913575
1987-3,83.97308473,93.44152721,81.91673448,107.7597494,107.2273805
1987-4,85.65006069,98.88743336,97.48402892,71.99678408,63.87540341
1987-5,92.16587934,100.8946516,87.49176652,71.88546026,74.04354087
1987-6,117.93513,139.0759782,120.2501147,159.4299116,97.52533836
1987-7,71.59038981,102.7803243,76.80725368,107.7125614,111.6282632
1987-8,73.81848794,94.2182128,60.12448839,119.4488169,54.00994643
1987-9,70.39020249,98.16539965,59.21239406,76.23501135,41.82984372
1987-10,132.6494494,141.3515054,158.7435715,101.7723112,134.5145554
1987-11,147.3932963,164.1818529,185.0072787,175.2738548,160.1476632
1987-12,167.7377293,144.7658165,165.8711524,119.1177858,145.7460031
1988-1,138.8617412,123.9324286,146.1759431,107.1677248,130.6437988
1988-2,104.1612349,96.92709112,89.40913051,98.33359667,85.90864213
1988-3,98.96177827,115.5235793,95.39980801,94.13810464,75.92185137
1988-4,91.42656756,120.8380966,84.45884583,135.5762942,93.54894257
1988-5,108.9376057,110.3160012,114.1974838,86.77955064,96.88113181
1988-6,80.1773917,98.76468542,81.66509204,95.69975958,94.05412848
1988-7,93.92184736,99.98191926,85.53811615,82.97598386,57.63236084
1988-8,100.743474,94.87208202,95.73274743,60.47020747,81.51137047
1988-9,96.61887115,98.47098361,83.72919489,110.3581271,104.1365956
1988-10,82.62885827,92.17341942,86.45993137,131.8539915,113.2343526
1988-11,91.60888205,110.5572341,105.1976617,98.38148147,66.8793103
1988-12,87.73305488,96.55694793,84.52890671,128.5234323,144.8811114
1989-1,73.34794277,91.27368844,79.99529037,93.50626888,57.06577198
1989-2,46.8478776,81.94567847,43.15946163,87.01521492,63.32476884
1989-3,70.1971327,89.3116587,75.62936655,117.6466419,99.3834305
1989-4,84.25904201,84.36259383,74.20255182,79.22260208,94.65562844
1989-5,93.63026612,90.59842435,90.66485158,54.05311562,86.32799787
1989-6,100.683348,113.0638744,102.1968354,125.4960181,114.5088686
1989-7,79.21692063,85.897272,78.36451908,87.18747309,107.8026844
1989-8,75.34784268,92.33150938,72.82123749,119.3331293,94.33022459
1989-9,88.44441618,92.43615036,79.29158638,108.6582195,98.02978378
1989-10,85.63401612,87.73937547,73.84989775,96.24791999,79.96004959
1989-11,112.851565,102.8202317,107.2958379,106.4476842,96.54557993
1989-12,87.00451895,84.8103075,82.24810976,114.0004017,137.5038862
1990-1,94.85632099,93.26463929,90.50784672,113.4398261,97.23090914
1990-2,127.1653486,119.20195,123.2563378,189.0582102,213.9438073
1990-3,108.2841029,99.8446875,103.7429813,127.7824419,136.3890702
1990-4,108.4822039,95.64087701,87.89681191,88.70387131,93.06534344
1990-5,104.8500257,98.28220353,99.834144,94.32945221,64.33662771
1990-6,92.47026975,105.6284375,98.57277822,116.7669207,119.3316959
1990-7,91.17350395,95.61710241,86.36998452,100.6554828,121.8037
1990-8,170.5936069,118.8651331,149.9863956,152.8185896,260.7993078
1990-9,156.2994927,121.062894,140.7769942,142.8858635,221.3444585
1990-10,163.2498071,124.8883473,145.3450457,150.4825569,182.6240417
1990-11,159.267497,119.4885343,146.0540329,111.0390669,131.8497157
1990-12,174.2344035,121.4673468,150.3237092,128.3565412,143.8998302
1991-1,204.6977179,157.7015816,200.9681585,148.7877252,219.6009426
1991-2,140.7491239,111.7526302,115.3185914,71.33263216,78.31650868
1991-3,120.5518695,80.96672935,100.8921349,101.072049,121.4746353
1991-4,108.9227842,101.3065308,101.8301181,139.0411085,105.6142764
1991-5,106.4031786,102.1927978,95.0528791,83.42345073,73.82826509
1991-6,105.5031542,96.05801222,101.7691182,98.08335548,99.10744055
1991-7,96.1829747,102.3545086,87.95114157,65.23188844,60.51815627
1991-8,124.4476938,103.792025,103.2080162,92.16915183,59.75829372
1991-9,118.9657467,113.3319143,137.6758208,144.7139653,162.9726561
1991-10,120.1348879,98.63472784,112.9449509,117.6124973,133.5553547
1991-11,136.399649,111.8521602,131.7005761,123.7205405,145.2287261
1991-12,166.884107,125.8645675,171.228466,72.54634563,99.43763391
1992-1,134.6511985,98.26370483,122.2673525,72.24451724,88.45794798
1992-2,153.2193732,117.1520535,158.0810584,122.2506701,170.7610076
1992-3,132.3045531,104.1364909,129.7724301,102.7023261,128.9756445
1992-4,104.71612,77.68459866,88.82517506,56.85325257,73.13928136
1992-5,98.67084746,73.53186702,82.77824994,75.13717571,100.1856804
1992-6,133.1153192,116.8769113,127.2292514,82.06954741,80.58768792
1992-7,121.8797041,93.17247376,101.2327599,63.88635188,63.2469689
1992-8,123.4470896,103.9041824,116.3952392,82.53347561,118.0215444
1992-9,169.0793665,107.7670499,154.073213,32.36996767,40.57143749
1992-10,162.4619647,118.8471526,165.33138,84.79943097,129.85265
1992-11,121.9057279,90.75767981,115.5594374,70.5126263,63.15894088
1992-12,100.1802644,81.88636241,90.02079985,72.40165653,79.70476036
1993-1,103.9696694,98.24977211,101.7672705,83.68410583,89.80953851
1993-2,111.8307935,101.4637543,131.9138481,168.0845067,256.5927368
1993-3,112.8953294,106.5700177,126.97151,114.1668234,137.8474477
1993-4,95.77178416,83.83787708,89.45871026,94.27327539,115.5483845
1993-5,130.8760145,117.6456023,139.8853201,74.09645325,100.1318604
1993-6,136.842552,115.3169149,138.0045687,91.90350675,129.6656286
1993-7,120.5686444,103.891659,125.2003749,115.6916061,183.936267
1993-8,114.8788769,94.67758103,118.9388398,66.03817364,88.37580054
1993-9,110.2502285,109.6121688,109.3927896,76.68899691,93.14111708
1993-10,103.5537465,93.12429187,91.87354607,88.50492988,100.2045006
1993-11,104.2304314,95.3815886,113.3886341,52.96719375,87.02408017
1993-12,101.8331633,81.4818547,94.43555134,81.6643846,119.7261203
1994-1,106.0299569,81.02026311,88.37909637,60.19270364,84.64783491
1994-2,82.22955742,89.19940663,103.3963332,85.49618909,110.5147997
1994-3,101.0180423,95.57677071,105.4996314,68.9552959,74.97915875
1994-4,100.4534896,94.38595861,85.91273484,53.58909078,76.88866066
1994-5,100.1349471,96.87805004,98.2686816,82.93020284,53.93171434
1994-6,94.79213403,92.31127843,97.01658149,80.58744336,50.46343268
1994-7,84.69772178,89.95931313,84.60033274,63.71335587,35.83947922
1994-8,100.1250268,102.1401706,109.677628,69.80026599,76.02621282
1994-9,89.72903157,110.3189547,94.77120743,99.3588907,81.61788232
